Leaf height,Stalk thickness,Tree type
5.24,0.16,cherry
12.74,0.25,maple
13.5,0.36,walnut
8.35,0.14,cherry
9.67,0.22,maple
13.09,0.37,walnut
9.71,0.21,maple
9.98,0.13,cherry
11.52,0.19,maple
17.72,0.34,walnut
7.26,0.11,cherry
3.84,0.16,cherry
8.52,0.18,cherry
12.05,0.3,walnut
13.47,0.2,maple
7.64,0.17,cherry
10.94,0.16,cherry
15.36,0.38,walnut
8.16,0.13,cherry
12.03,0.18,maple
13.02,0.26,maple
8.1,0.08,cherry
10.43,0.27,maple
15.7,0.18,maple
15.54,0.37,walnut
7.26,0.12,cherry
10.09,0.14,cherry
12.78,0.18,maple
15.76,0.33,walnut
11.48,0.17,maple
13.18,0.19,maple
7.49,0.08,cherry
13.28,0.4,walnut
7.92,0.13,maple
14.92,0.33,walnut
10.96,0.13,cherry
10.22,0.19,maple
10.54,0.13,cherry
10.06,0.14,cherry
11.44,0.31,walnut
12.66,0.26,maple
13.73,0.34,walnut
8.29,0.08,cherry
11.77,0.21,maple
9.88,0.1,cherry
16.13,0.25,maple
15.22,0.21,maple
16.97,0.27,maple
19.75,0.23,maple
17.91,0.21,maple
13.45,0.3,maple
9.7,0.21,maple
12.12,0.18,maple
10.19,0.23,maple
11.06,0.22,maple
10.15,0.25,maple
16.3,0.19,maple
17.66,0.37,walnut
10.45,0.11,cherry
19.02,0.31,walnut
9.17,0.08,cherry
15.4,0.24,maple
10.69,0.17,cherry
8.97,0.11,cherry
4.84,0.25,maple
8.95,0.13,cherry
14.93,0.4,walnut
7.31,0.2,maple
10.8,0.22,maple
9.58,0.11,cherry
10.14,0.17,cherry
15.93,0.2,maple
9.65,0.29,maple
9.84,0.2,maple
10.03,0.16,cherry
10.66,0.14,cherry
12.48,0.21,maple
11.58,0.19,maple
12.73,0.31,walnut
8.49,0.05,cherry
10.01,0.21,maple
12.26,0.37,walnut
8.59,0.22,maple
7.79,0.12,cherry
11.1,0.14,cherry
15.27,0.36,walnut
12.02,0.24,maple
14.57,0.34,walnut
6.57,0.15,cherry
13.37,0.2,maple
14.29,0.37,walnut
14.56,0.1,cherry
4.82,0.17,cherry
8.73,0.08,cherry
11.24,0.21,maple
11.88,0.3,walnut
8.2,0.1,cherry
14.89,0.18,maple
15.23,0.2,maple
9.54,0.15,cherry
4.95,0.12,cherry
11.03,0.38,walnut
11.97,0.3,maple
12.73,0.34,walnut
9.71,0.18,cherry
9.65,0.25,maple
12.02,0.32,walnut
10.4,0.2,maple
10.31,0.13,cherry
10.65,0.18,maple
17.19,0.36,walnut
8.23,0.1,cherry
4.43,0.11,cherry
8.19,0.09,cherry
12.76,0.37,walnut
14.01,0.19,maple
7.95,0.08,cherry
9.52,0.14,cherry
14.34,0.36,walnut
7.95,0.14,cherry
13.02,0.22,maple
13.96,0.22,maple
8.81,0.16,cherry
10.75,0.2,maple
14.67,0.18,maple
16.31,0.4,walnut
7.57,0.26,maple
10.66,0.1,cherry
13.73,0.23,maple
14.83,0.37,walnut
11.49,0.21,maple
13.63,0.21,maple
7.15,0.17,cherry
13.14,0.38,walnut
8.26,0.2,maple
15.61,0.32,walnut
10.59,0.11,cherry
10.03,0.13,maple
9.38,0.17,cherry
9.56,0.11,cherry
11.47,0.34,walnut
13.07,0.22,maple
13.62,0.36,walnut
8.54,0.1,cherry
11.3,0.19,maple
10.11,0.13,cherry
15.28,0.19,maple
15.72,0.2,maple
17.37,0.24,maple
18.79,0.18,maple
18.03,0.18,maple
12.95,0.24,maple
10.85,0.24,maple
12.22,0.19,maple
11.32,0.24,maple
10.36,0.21,maple
10.35,0.23,maple
16.76,0.18,maple
18.52,0.34,walnut
10.95,0.15,cherry
18.6,0.35,walnut
8.54,0.12,cherry
14.9,0.24,maple
9.62,0.1,cherry
8.63,0.08,cherry
4.11,0.26,maple
9.97,0.08,cherry
15.04,0.35,walnut
6.78,0.24,maple
10.9,0.24,maple
10.65,0.14,cherry
10.64,0.15,cherry
15.38,0.11,maple
11.22,0.37,walnut
10.62,0.23,maple
10.58,0.22,maple
9.6,0.12,cherry
10.32,0.09,cherry
12.9,0.22,maple
7.5,0.15,cherry
9.7,0.08,cherry
11.8,0.2,maple
18.0,0.34,walnut
14.0,0.33,walnut
14.5,0.32,walnut
15.5,0.31,walnut
14.0,0.22,maple
18.0,0.38,walnut
14.5,0.23,maple
12.0,0.1,cherry
18.5,0.34,walnut
8.5,0.14,cherry
11.0,0.05,cherry
18.5,0.21,maple
14.5,0.21,maple
14.8,0.26,maple
18.0,0.36,walnut
11.4,0.13,cherry
19.9,0.3,walnut
11.0,0.19,maple
8.4,0.1,cherry
9.5,0.12,cherry
14.5,0.28,walnut
16.2,0.25,maple
10.0,0.12,cherry
16.0,0.23,maple
11.6,0.13,cherry
18.0,0.31,walnut
10.0,0.14,cherry
16.0,0.2,maple
15.5,0.21,maple
19.3,0.37,walnut
8.5,0.1,cherry
16.5,0.19,maple
15.1,0.24,maple
6.7,0.16,cherry
14.0,0.23,maple
17.3,0.37,walnut
10.0,0.14,cherry
14.2,0.2,maple
17.1,0.35,walnut
12.5,0.19,maple
19.1,0.32,walnut
16.2,0.34,walnut
15.8,0.33,walnut
11.0,0.15,cherry
15.0,0.23,maple
11.5,0.15,cherry
17.0,0.33,walnut
11.5,0.25,maple
16.0,0.26,walnut
13.5,0.31,walnut
9.0,0.14,cherry
10.0,0.15,cherry
17.5,0.33,walnut
11.8,0.12,cherry
11.6,0.22,maple
7.5,0.08,cherry
25.5,0.23,maple
12.5,0.12,cherry
15.9,0.39,walnut
13.5,0.21,maple
17.3,0.34,walnut
11.0,0.1,cherry
14.4,0.22,maple
17.0,0.38,walnut
11.5,0.21,maple
15.8,0.33,walnut
8.0,0.08,cherry
12.75,0.23,maple
13.5,0.13,cherry
18.1,0.33,walnut
12.3,0.17,maple
6.5,0.1,cherry
7.2,0.09,cherry
18.0,0.22,walnut
12.5,0.09,cherry
12.2,0.13,cherry
25.0,0.24,maple
16.5,0.21,maple
6.5,0.13,cherry
11.0,0.35,walnut
7.0,0.16,cherry
12.0,0.23,maple
16.4,0.21,maple
16.7,0.23,maple
18.5,0.19,maple
16.9,0.12,cherry
21.3,0.36,walnut
19.1,0.26,maple
17.1,0.17,maple
18.7,0.39,walnut
18.5,0.19,maple
15.5,0.15,cherry
16.5,0.23,maple
16.8,0.33,walnut
10.9,0.16,cherry
16.9,0.26,maple
16.0,0.34,walnut
9.9,0.15,cherry
13.5,0.32,walnut
13.8,0.05,cherry
16.5,0.23,maple
10.8,0.16,cherry
20.6,0.21,maple
12.8,0.3,walnut
14.3,0.32,walnut
5.0,0.13,cherry
17.4,0.33,walnut
11.8,0.13,cherry
17.9,0.18,maple
16.0,0.13,cherry
11.5,0.38,walnut
8.0,0.13,cherry
15.5,0.34,walnut
19.5,0.21,maple
13.8,0.22,maple
15.1,0.32,walnut
10.2,0.13,cherry
15.2,0.27,maple
15.3,0.24,maple
16.6,0.34,walnut
7.7,0.17,maple
11.6,0.28,maple
7.5,0.11,cherry
15.5,0.21,maple
14.3,0.19,maple
11.4,0.26,maple
11.8,0.22,maple
10.5,0.21,maple
12.0,0.06,cherry
14.6,0.35,walnut
12.5,0.23,maple
16.6,0.25,maple
14.0,0.25,maple
14.7,0.32,walnut
16.0,0.37,walnut
16.0,0.18,maple
15.0,0.28,walnut
13.5,0.33,walnut
16.0,0.28,maple
19.0,0.36,walnut
10.0,0.12,cherry
16.5,0.3,walnut
14.4,0.25,maple
16.6,0.35,walnut
11.1,0.1,cherry
10.0,0.15,cherry
21.5,0.21,maple
12.7,0.2,maple
10.2,0.11,cherry
16.0,0.38,walnut
17.0,0.35,walnut
10.5,0.12,cherry
20.0,0.29,walnut
16.5,0.32,walnut
17.7,0.38,walnut
19.1,0.35,walnut
11.5,0.09,cherry
16.0,0.34,walnut
17.0,0.19,maple
17.9,0.22,maple
17.0,0.2,maple
15.0,0.35,walnut
11.8,0.1,cherry
14.5,0.36,walnut
11.1,0.12,cherry
11.6,0.2,maple
7.5,0.08,cherry
25.0,0.24,maple
16.5,0.23,maple
19.5,0.21,maple
10.0,0.13,cherry
16.0,0.32,walnut
13.5,0.33,walnut
16.0,0.24,maple
8.5,0.12,cherry
15.5,0.26,maple
9.0,0.08,cherry
5.0,0.05,cherry
20.0,0.19,maple
13.5,0.2,maple
12.0,0.14,cherry
16.0,0.25,maple
10.0,0.11,cherry
17.0,0.34,walnut
16.5,0.24,maple
12.3,0.23,maple
15.6,0.32,walnut
7.0,0.1,cherry
11.5,0.25,maple
14.5,0.34,walnut
16.0,0.11,cherry
15.3,0.19,maple
8.5,0.17,cherry
9.6,0.12,cherry
12.0,0.18,maple
13.0,0.12,cherry
19.0,0.19,maple
16.0,0.38,walnut
9.3,0.08,cherry
7.5,0.17,cherry
17.3,0.31,walnut
18.0,0.22,maple
17.4,0.2,maple
12.9,0.21,maple
11.0,0.15,cherry
10.5,0.15,cherry
21.5,0.4,walnut
10.0,0.12,cherry
18.0,0.19,maple
11.0,0.2,maple
19.5,0.4,walnut
7.1,0.15,cherry
12.5,0.19,maple
