student_id,age,height_cm,weight_kg,score_math,score_physics,study_effort,gender,city,passed_exam
73,20.0,174.6,92.6,46.3,33.5,medium,M,Ostrava,0
74,24.0,162.9,998.4,100.0,100.0,high,F,Brno,1
75,24.0,178.6,69.8,41.1,78.4,very-high,M,Brno,1
76,24.0,166.5,64.4,42.9,,very-high,,Prague,0
77,24.0,180.3,81.5,91.7,25.7,low,M,Ostrava,1
78,20.0,171.2,66.4,40.0,86.1,very-high,M,Ostrava,1
79,22.0,,81.4,89.1,,medium,,Ostrava,1
80,20.0,164.0,78.6,69.5,83.2,medium,F,Brno,1
81,25.0,172.4,91.9,63.8,84.4,medium,F,Brno,1
82,23.0,166.9,59.8,86.8,70.0,very-high,M,Ostrava,1
83,22.0,,54.4,78.7,78.9,medium,M,Ostrava,1
84,20.0,396.4,53.2,100.0,62.8,medium,F,Ostrava,1
85,22.0,169.6,69.8,75.1,83.0,high,,Brno,1
86,22.0,180.2,46.1,82.8,99.6,low,F,Ostrava,1
87,24.0,189.4,73.8,54.0,38.8,low,F,Ostrava,0
88,23.0,174.8,78.0,49.7,48.2,low,M,Prague,0
89,25.0,174.2,61.0,95.1,,low,F,Prague,1
90,22.0,165.9,74.6,88.0,100.0,low,M,Brno,1
91,20.0,160.1,53.5,,82.2,low,M,Ostrava,0
92,24.0,401.0,51.7,79.7,87.4,high,M,Ostrava,1
93,24.0,,88.3,67.6,69.4,low,F,Prague,0
94,23.0,177.8,70.1,91.0,58.5,medium,M,Brno,1
95,24.0,169.2,55.7,65.5,66.8,very-high,M,Prague,1
96,22.0,169.4,70.2,100.0,70.5,medium,F,Prague,1
97,23.0,187.6,86.4,100.0,65.3,high,M,Prague,1
98,22.0,400.1,63.4,80.3,39.1,low,F,Prague,1
99,20.0,400.8,79.2,91.5,,low,M,Ostrava,1
100,20.0,183.1,61.8,98.6,,low,F,Ostrava,1
